#,kpt,grid,G4x4
#,e_cutoff,e_total,e_diff
200,-11.663484,,
225,-11.681179,-.017695,.038471
250,-11.695405,-.014226,.024245
275,-11.705206,-.009801,.014444
300,-11.712531,-.007325,.007119
325,-11.715436,-.002905,.004214
350,-11.717044,-.001608,.002606
375,-11.718213,-.001169,.001437
400,-11.718805,-.000592,.000845
425,-11.719117,-.000312,.000533
450,-11.719191,-.000074,.000459
475,-11.719195,-.000004,.000455
500,-11.719203,-.000008,.000447
525,-11.719276,-.000073,.000374
550,-11.719315,-.000039,.000335
575,-11.719395,-.000080,.000255
600,-11.719467,-.000072,.000183
625,-11.719521,-.000054,.000129
650,-11.719558,-.000037,.000092
675,-11.719580,-.000022,.000070
700,-11.719588,-.000008,.000062
725,-11.719582,.000006,.000068
750,-11.719581,.000001,.000069
775,-11.719583,-.000002,.000067
800,-11.719591,-.000008,.000059
825,-11.719598,-.000007,.000052
850,-11.719616,-.000018,.000034
875,-11.719632,-.000016,.000018
900,-11.719650,-.000018,0
